"category","region","sex_group","row_id","relation","quintile","percentage","area_type","province"
"Contributing Family Worker","PAKISTAN URBAN","Both Sexes",6,"Head","q5",0.0628315609679074,"Urban","Pakistan"
"Employee","PAKISTAN URBAN","Both Sexes",7,"Head","total",32.6357947665805,"Urban","Pakistan"
"Employee","PAKISTAN URBAN","Both Sexes",7,"Head","q1",35.8198779527591,"Urban","Pakistan"
"Employee","PAKISTAN URBAN","Both Sexes",7,"Head","q2",34.2013673826322,"Urban","Pakistan"
"Employee","PAKISTAN URBAN","Both Sexes",7,"Head","q3",33.0081792405508,"Urban","Pakistan"
"Employee","PAKISTAN URBAN","Both Sexes",7,"Head","q4",32.0601442494613,"Urban","Pakistan"
"Employee","PAKISTAN URBAN","Both Sexes",7,"Head","q5",31.2500750724681,"Urban","Pakistan"
"Not Economically Active","PAKISTAN URBAN","Both Sexes",8,"Other","total",3.71285236906844,"Urban","Pakistan"
"Not Economically Active","PAKISTAN URBAN","Both Sexes",8,"Other","q1",0.608010837134666,"Urban","Pakistan"
"Not Economically Active","PAKISTAN URBAN","Both Sexes",8,"Other","q2",0.805906181699095,"Urban","Pakistan"
"Not Economically Active","PAKISTAN URBAN","Both Sexes",8,"Other","q3",1.54283498637957,"Urban","Pakistan"
"Not Economically Active","PAKISTAN URBAN","Both Sexes",8,"Other","q4",3.45324559774598,"Urban","Pakistan"
"Not Economically Active","PAKISTAN URBAN","Both Sexes",8,"Other","q5",7.36579390418111,"Urban","Pakistan"
"Employer","PAKISTAN URBAN","Both Sexes",10,"Other","total",0.397039861791197,"Urban","Pakistan"
"Employer","PAKISTAN URBAN","Both Sexes",10,"Other","q1",0.0920088270209775,"Urban","Pakistan"
"Employer","PAKISTAN URBAN","Both Sexes",10,"Other","q2",0.0518760575145531,"Urban","Pakistan"
"Employer","PAKISTAN URBAN","Both Sexes",10,"Other","q3",0.211648938642012,"Urban","Pakistan"
"Employer","PAKISTAN URBAN","Both Sexes",10,"Other","q4",0.39151998288027,"Urban","Pakistan"
"Employer","PAKISTAN URBAN","Both Sexes",10,"Other","q5",0.752395385014203,"Urban","Pakistan"
"Self Employed","PAKISTAN URBAN","Both Sexes",11,"Other","total",5.58297088128187,"Urban","Pakistan"
"Self Employed","PAKISTAN URBAN","Both Sexes",11,"Other","q1",5.7044663528494,"Urban","Pakistan"
"Self Employed","PAKISTAN URBAN","Both Sexes",11,"Other","q2",5.28129590473411,"Urban","Pakistan"
"Self Employed","PAKISTAN URBAN","Both Sexes",11,"Other","q3",5.76236873421886,"Urban","Pakistan"
"Self Employed","PAKISTAN URBAN","Both Sexes",11,"Other","q4",6.1609384735503,"Urban","Pakistan"
"Self Employed","PAKISTAN URBAN","Both Sexes",11,"Other","q5",5.16532431633824,"Urban","Pakistan"
"Contributing Family Worker","PAKISTAN URBAN","Both Sexes",12,"Other","total",6.62944184200398,"Urban","Pakistan"
"Contributing Family Worker","PAKISTAN URBAN","Both Sexes",12,"Other","q1",5.60428435825664,"Urban","Pakistan"
"Contributing Family Worker","PAKISTAN URBAN","Both Sexes",12,"Other","q2",6.99493816877042,"Urban","Pakistan"
"Contributing Family Worker","PAKISTAN URBAN","Both Sexes",12,"Other","q3",6.79851730027571,"Urban","Pakistan"
"Contributing Family Worker","PAKISTAN URBAN","Both Sexes",12,"Other","q4",7.29451519398703,"Urban","Pakistan"
"Contributing Family Worker","PAKISTAN URBAN","Both Sexes",12,"Other","q5",6.15753665338184,"Urban","Pakistan"
"Employee","PAKISTAN URBAN","Both Sexes",13,"Other","total",36.4896320454455,"Urban","Pakistan"
"Employee","PAKISTAN URBAN","Both Sexes",13,"Other","q1",44.1194463933268,"Urban","Pakistan"
"Employee","PAKISTAN URBAN","Both Sexes",13,"Other","q2",42.6204528357408,"Urban","Pakistan"
"Employee","PAKISTAN URBAN","Both Sexes",13,"Other","q3",40.0397252733225,"Urban","Pakistan"
"Employee","PAKISTAN URBAN","Both Sexes",13,"Other","q4",35.8251226886209,"Urban","Pakistan"
"Employee","PAKISTAN URBAN","Both Sexes",13,"Other","q5",29.9783747613241,"Urban","Pakistan"
"Not Economically Active","PAKISTAN URBAN","Both Sexes",14,"Other","total",1.17438551400127,"Urban","Pakistan"
"Not Economically Active","PAKISTAN URBAN","Both Sexes",14,"Other","q1",0.497066156531534,"Urban","Pakistan"
"Not Economically Active","PAKISTAN URBAN","Both Sexes",14,"Other","q2",0.3573894904708,"Urban","Pakistan"
"Not Economically Active","PAKISTAN URBAN","Both Sexes",14,"Other","q3",0.928625101090241,"Urban","Pakistan"
"Not Economically Active","PAKISTAN URBAN","Both Sexes",14,"Other","q4",0.763713679786899,"Urban","Pakistan"
"Not Economically Active","PAKISTAN URBAN","Both Sexes",14,"Other","q5",2.17552914897413,"Urban","Pakistan"
"Employer","PAKISTAN URBAN","Male",4,"Head","total",1.45598680301576,"Urban","Pakistan"
"Employer","PAKISTAN URBAN","Male",4,"Head","q1",0.238103433265236,"Urban","Pakistan"
"Employer","PAKISTAN URBAN","Male",4,"Head","q2",0.457559610422169,"Urban","Pakistan"
"Employer","PAKISTAN URBAN","Male",4,"Head","q3",0.48622565173937,"Urban","Pakistan"
"Employer","PAKISTAN URBAN","Male",4,"Head","q4",1.44978264215021,"Urban","Pakistan"
"Employer","PAKISTAN URBAN","Male",4,"Head","q5",2.77500563247583,"Urban","Pakistan"
"Self Employed","PAKISTAN URBAN","Male",5,"Head","total",14.0775264948677,"Urban","Pakistan"
"Self Employed","PAKISTAN URBAN","Male",5,"Head","q1",8.99787002711058,"Urban","Pakistan"
"Self Employed","PAKISTAN URBAN","Male",5,"Head","q2",11.1089582159852,"Urban","Pakistan"
"Self Employed","PAKISTAN URBAN","Male",5,"Head","q3",13.1741097166463,"Urban","Pakistan"
"Self Employed","PAKISTAN URBAN","Male",5,"Head","q4",14.5581208335072,"Urban","Pakistan"
"Self Employed","PAKISTAN URBAN","Male",5,"Head","q5",16.8470808413895,"Urban","Pakistan"
"Contributing Family Worker","PAKISTAN URBAN","Male",6,"Head","total",0.0880474164062338,"Urban","Pakistan"
"Contributing Family Worker","PAKISTAN URBAN","Male",6,"Head","q1",0,"Urban","Pakistan"
"Contributing Family Worker","PAKISTAN URBAN","Male",6,"Head","q2",0.114280966757718,"Urban","Pakistan"
"Contributing Family Worker","PAKISTAN URBAN","Male",6,"Head","q3",0.13044757784508,"Urban","Pakistan"
"Contributing Family Worker","PAKISTAN URBAN","Male",6,"Head","q4",0.124199477752238,"Urban","Pakistan"
"Contributing Family Worker","PAKISTAN URBAN","Male",6,"Head","q5",0.0475688186137965,"Urban","Pakistan"
"Employee","PAKISTAN URBAN","Male",7,"Head","total",37.828225576034,"Urban","Pakistan"
"Employee","PAKISTAN URBAN","Male",7,"Head","q1",43.1137288090981,"Urban","Pakistan"
"Employee","PAKISTAN URBAN","Male",7,"Head","q2",41.0679431430403,"Urban","Pakistan"
"Employee","PAKISTAN URBAN","Male",7,"Head","q3",38.6095028858212,"Urban","Pakistan"
"Employee","PAKISTAN URBAN","Male",7,"Head","q4",36.382051335083,"Urban","Pakistan"
